date,avg_price,last_price,market_value,order_book_id,quantity,symbol
2015-07-22,15.9,13.52,424528.0,000001.XSHE,31400.0,平安银行
2015-07-22,18.16,17.85,189210.0,600036.XSHG,10600.0,招商银行
2015-07-23,15.9,13.67,429238.0,000001.XSHE,31400.0,平安银行
2015-07-23,18.16,17.94,190164.0,600036.XSHG,10600.0,招商银行
2015-07-24,15.9,13.38,420132.0,000001.XSHE,31400.0,平安银行
2015-07-24,18.16,17.9,189740.0,600036.XSHG,10600.0,招商银行
2015-07-27,15.9,12.44,390616.0,000001.XSHE,31400.0,平安银行
2015-07-27,18.16,16.7,177020.0,600036.XSHG,10600.0,招商银行
2015-07-28,15.9,12.62,396268.0,000001.XSHE,31400.0,平安银行
2015-07-28,18.16,17.04,180624.0,600036.XSHG,10600.0,招商银行
2015-07-29,15.9,12.6,395640.0,000001.XSHE,31400.0,平安银行
2015-07-29,18.16,17.16,181896.0,600036.XSHG,10600.0,招商银行
2015-07-30,15.9,12.26,384964.0,000001.XSHE,31400.0,平安银行
2015-07-30,18.16,16.98,179988.0,600036.XSHG,10600.0,招商银行
2015-07-31,15.9,12.36,388104.0,000001.XSHE,31400.0,平安银行
2015-07-31,18.16,17.3,183380.0,600036.XSHG,10600.0,招商银行
2015-08-03,15.9,12.82,402548.0,000001.XSHE,31400.0,平安银行
2015-08-03,18.16,18.09,191754.0,600036.XSHG,10600.0,招商银行
2015-08-04,15.9,12.86,403804.0,000001.XSHE,31400.0,平安银行
2015-08-04,18.16,18.15,192390.0,600036.XSHG,10600.0,招商银行
2015-08-05,15.9,12.59,395326.0,000001.XSHE,31400.0,平安银行
2015-08-05,18.16,17.91,189846.0,600036.XSHG,10600.0,招商银行
2015-08-06,15.9,12.53,393442.0,000001.XSHE,31400.0,平安银行
2015-08-06,18.16,18.12,192072.0,600036.XSHG,10600.0,招商银行
2015-08-07,15.9,12.61,395954.0,000001.XSHE,31400.0,平安银行
2015-08-07,18.16,18.29,193874.0,600036.XSHG,10600.0,招商银行
2015-08-10,15.9,12.92,405688.0,000001.XSHE,31400.0,平安银行
2015-08-10,18.16,18.62,197372.0,600036.XSHG,10600.0,招商银行
2015-08-11,15.9,12.84,403176.0,000001.XSHE,31400.0,平安银行
2015-08-11,18.16,18.2,192920.0,600036.XSHG,10600.0,招商银行
2015-08-12,15.9,12.57,394698.0,000001.XSHE,31400.0,平安银行
2015-08-12,18.16,17.9,189740.0,600036.XSHG,10600.0,招商银行
2015-08-13,15.9,12.57,394698.0,000001.XSHE,31400.0,平安银行
2015-08-13,18.16,17.85,189210.0,600036.XSHG,10600.0,招商银行
2015-08-14,15.9,12.64,396896.0,000001.XSHE,31400.0,平安银行
2015-08-14,18.16,17.74,188044.0,600036.XSHG,10600.0,招商银行
2015-08-17,15.9,12.54,393756.0,000001.XSHE,31400.0,平安银行
2015-08-17,18.16,17.33,183698.0,600036.XSHG,10600.0,招商银行
2015-08-18,15.9,12.27,385278.0,000001.XSHE,31400.0,平安银行
2015-08-18,18.16,16.8,178080.0,600036.XSHG,10600.0,招商银行
2015-08-19,15.9,12.23,384022.0,000001.XSHE,31400.0,平安银行
2015-08-19,18.16,17.13,181578.0,600036.XSHG,10600.0,招商银行
2015-08-20,15.9,12.05,378370.0,000001.XSHE,31400.0,平安银行
2015-08-20,18.16,16.81,178186.0,600036.XSHG,10600.0,招商银行
2015-08-21,15.9,11.5,361100.0,000001.XSHE,31400.0,平安银行
2015-08-21,18.16,16.54,175324.0,600036.XSHG,10600.0,招商银行
